0	790
0	2873
0	4000
1	485
1	1666
1	2081
1	2689
1	3149
1	4304
2	313
3	2476
3	3825
4	715
4	4594
5	125
5	3616
6	1719
7	2206
7	2638
7	2897
7	3701
8	442
8	2407
8	4268
9	36
10	2103
11	4433
12	1330
12	2073
14	3778
15	2244
16	414
16	465
16	963
16	1062
16	1104
16	1587
16	2384
16	2717
16	3486
16	3575
16	3998
16	4135
17	1729
18	823
18	1675
18	2391
18	3479
18	3693
18	4379
19	509
19	3517
20	1959
20	3179
21	3224
21	4016
22	1756
23	485
23	3458
24	1728
24	3422
25	1953
26	3578
27	1734
27	2654
27	3063
28	1746
29	170
29	1754
30	1215
31	1123
31	1914
31	2563
32	1188
33	1501
33	1529
33	2337
33	2671
33	2868
33	3086
33	3732
34	668
35	620
35	1007
35	3024
36	9
36	169
36	990
36	994
36	1636
36	1681
36	1817
36	2129
36	3331
36	3868
36	4269
37	1613
37	3066
38	1288
39	1203
39	1482
39	2600
39	3610
40	4388
41	1885
41	2131
41	3825
42	3969
43	1153
44	4220
45	177
45	1013
45	1440
45	2347
45	2652
46	1642
47	201
48	1944
48	2863
49	4388
50	1034
50	2622
50	2863
50	3951
51	3061
52	2067
53	3564
53	3931
54	904
54	1767
55	4311
56	1577
56	2755
56	3096
57	3536
58	3720
59	485
60	1517
60	2213
60	3400
60	3628
60	4114
60	4339
61	2714
62	3227
63	4226
64	84
64	206
64	496
64	882
64	886
64	933
64	1169
64	1838
64	2087
64	2341
64	2762
64	2850
64	4006
65	3303
66	3029
66	3148
67	835
67	898
67	1323
68	3197
69	3458
70	2131
71	1789
72	2188
73	584
73	2426
74	2285
74	3894
75	289
75	2941
76	951
77	744
78	1475
78	3114
79	3971
80	2630
81	4448
82	293
82	1343
82	3063
82	4497
83	888
83	3566
84	64
84	882
85	640
85	1559
85	1778
85	2771
85	3187
85	3543
86	1497
86	2512
87	2778
88	3751
89	1730
89	3185
89	3727
90	114
91	1282
91	3607
92	788
92	1272
92	2248
93	3517
93	3825
94	2520
95	2934
95	3517
96	4082
97	293
98	2021
99	2470
100	4281
101	215
102	935
102	1223
102	2600
103	509
103	1686
103	2541
103	2691
103	2812
103	2909
103	3517
104	4579
105	934
105	2735
105	3582
105	4401
106	2125
106	2765
107	756
108	2075
108	2961
109	1295
109	1969
109	2824
110	2644
111	3519
112	789
113	890
113	1642
113	1782
113	2407
113	3067
113	3948
113	4268
114	90
115	3251
115	4024
116	279
117	2282
117	3165
118	788
119	2863
120	1326
120	2139
120	4387
120	4592
121	408
122	2332
123	342
123	1249
123	1379
123	2358
123	2605
123	3852
124	2264
125	5
126	316
126	1942
127	4148
128	4282
129	509
129	3372
129	3517
130	2566
130	3517
131	2454
131	3789
132	328
132	750
132	852
132	1718
132	1852
132	2350
132	2584
132	2697
132	2799
132	2928
132	3287
132	3383
132	3522
132	3820
132	3909
133	1949
133	4372
134	1455
134	2887
135	162
135	2223
135	2921
136	427
137	3473
138	293
138	2589
138	3193
138	3569
139	1632
139	1712
139	2685
139	2757
139	3008
139	3151
139	3320
139	3383
139	3549
139	3665
139	4146
139	4244
140	4492
141	3881
142	1214
142	4341
143	1081
144	3326
144	3963
144	4464
145	3657
145	4170
146	164
146	2729
146	3651
147	1237
148	202
148	273
148	279
148	1450
148	1652
148	1986
148	2409
148	3614
148	3790
148	4302
